corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
ckla,2719,305,7,0
tvls,26,366,1,1
gnis,2049,1073,1,1
ocor,38,103,51,0
azfj,883,29,6,0
upvw,332,56,25,0
lpkp,99,9570,9,1
ejgz,13,10786,3209,1
lqxz,16,82,7,0
rxiu,40,629,250,0
hinh,74,83,58,0
xvpt,889,538,97,1
dhlu,279,584,201,1
hhob,99,396,5,1
ibyd,229,2904,210,0
vfev,31,134,45,0
bzgg,1972,708,11,0
ivww,86,212,0,0
wpuf,60,813,20,1
nwmd,37,258,234,1
gxyh,69,650,103,1
nwup,1202,7765,9,1
kdin,27,437,8,1
wswn,81,651,24,1
fcqa,942,397,21,0
bovm,14,450,24,0
xujf,26,12,24,1
ryps,477,579,4,1
ekls,44130,328,143,0
iybx,1046,446,217,1
ndzk,1218,853,13,0
aigf,7,799,5,1
dvkz,2006,350,12,1
syte,26,559,22,0
wfct,24,1043,13,1
btlp,50,5580,61,1
warr,797,363,65,0
kuft,725,241,234,0
gyww,1560,217,186,1
hbae,88,41,220,1
mdbe,83,50,3511,0
ovxt,35,1858,116,0
vkok,11,359,19,1
cwde,2434,95,23,1
qxme,71,817,5,0
qczh,10,425,34,0
rgei,2962,283,148,1
axzu,46,274,15,1
tcmr,69,885,23,1
iyfj,81,224,21,1
zzwc,679,54,12,0
qumc,860,217,24,1
kqun,2719,421,181,1
alak,54,451,24,0
tbkl,54,150,16,0
cwqi,16,700,21,0
yjpj,2993,3198,10,0
zdgk,47,547,4,1
ghdt,519,55,159,1
pxsg,645,183,13,1
jopz,1695,29,142,1
sqbd,72,129,11,0
fxop,2018,116,118,0
mjuv,100,529,199,0
kvvm,7,783,1,1
bevz,1440,208,0,1
xmsx,83003,546,17,1
dunh,2478,20,14,1
cfkv,98,5293,4,1
xoyl,76,278,247,0
vcli,2674,34,8,1
ubsj,42,414,732,1
psxt,2597,551,228,0
ynqn,626,135,23,0
zkbu,2038,715,220,1
mumi,2209,931,73,0
dvmv,35,294,902,1
zbcd,782,494,17,0
wazm,92,347,3,0
jprr,1858,920,180,1
jcdo,98,31,44,1
yjlw,77,856,24,0
ight,97,654,3,1
xryy,97,492,55,1
fngy,1557,697,170,1
madd,13,523,88,1
rgnr,17,375,159,0
