corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
kkse,8,407,164,0
boin,4,1496,8,0
hlpg,87,720,135,0
nlgh,8,104,90,1
rzmk,1692,914,25,0
nqlo,19,4992,6,0
mbiy,14,4516,35,0
mnvz,45,107,23,1
uzjj,97,267,55,0
orlu,51,351,52,1
jtve,53,845,206,1
prob,61,861,35,1
glkd,1425,464,86,0
aevm,86,8384,182,0
jjvd,9,598,7,0
mhlq,78,543,21,0
xgtg,86,291,59,0
mytm,9,32,132,0
ugms,1234,821,71,0
cclp,28,810,75,0
tiac,18,582,59,1
gexg,27,174,14,0
zena,757,4572,192,1
cpzu,14,85,25,0
tubr,692,784,107,1
kwqm,318,1071,224,0
ivfm,40,421,13,0
tmvk,0,506,36,0
ghso,61,114,197,0
ueij,233,525,23,1
ifmd,80,660,24,0
lvxv,22,184,122,0
asvo,74,519,22,0
qdgl,7,225,22,1
jmvq,64,372,240,0
ndcq,24,10594,52,0
mamm,21,862,115,0
hzsv,47,6554,0,1
xmkd,85,231,97,1
nbtn,2489,910,23,1
cysl,71,261,190,0
nkcc,95,1044,0,1
aogj,37,381,220,0
ijel,2852,634,155,0
wtov,1809,395,146,1
tkdd,71,327,99,0
tmwt,84,333,24,0
bkqa,42,48,22,0
wbxq,54,377,46,1
atcg,630,444,248,0
rxcz,78,287,119,1
dqnc,2778,4659,1,0
uirw,37,3478,207,0
imud,18,893,210,1
fzcu,62,46,108,1
ipjg,43,10221,212,0
psdd,2516,71,1652,0
yhjf,69,650,241,1
eata,1941,560,14,0
mtlo,1704,574,57,0
xpco,89,814,208,0
qtwk,95,654,23,0
nonq,443,728,96,1
axhs,53,7656,77,1
zuwp,73,565,19,0
ntve,62,669,21,1
yqlj,87,279,38,0
ulze,99,746,202,1
cgpx,62,318,10,0
qxsq,54,1030,224,1
sofc,20,632,18,1
cxvm,143,5204,64,1
bdaa,12,177,26,0
ztfj,80,5824,117,1
luiu,64,711,178,0
pyhl,1035,1011,84,0
luoi,92,20,11,1
ucfa,19,9863,244,0
rscz,1737,443,79,1
fuwv,40,536,1,1
fwto,97,588,24,1
pzro,2504,423,210,1
qoff,1154,347,15,0
mlkc,562,641,20,0
qykj,59,881,174,0
qlld,61,498,62,0
taek,1508,755,43,1
embq,1262,8591,84,0
wzlb,27,596,240,1
ibsm,393,844,3,0
xqjd,65,105,159,1
eeen,90,839,3,0
phda,59,364,70,1
flis,719,841,115,1
qece,7,101,184,1
gchp,281,144,239,1
qfjv,33,802,233,1
lefm,10,1099,165,0
gdjo,63,4153,219,0
eqhj,29,802,249,0
bndp,1126,850,124,1
butx,53,591,213,1
gkiq,75,194,104,1
vfvd,71,424,70,0
robw,906,6094,1,1
wqve,58,809,20,0
kmsc,93,5064,21,0
ptng,403,1100,11,1
fjhm,89,353,12,1
fftb,1735,824,19,1
oxxy,12,478,43,1
qamm,48,123,4,1
tzcm,25,970,44,0
iyxi,80,5935,121,1
plcx,87,111,90,1
devb,33,483,26,0
npde,1347,850,140,0
bjzv,357,669,91,1
kuyw,42,852,51,1
bdgv,51,71,73,1
zowl,34,998,4,0
qdom,26,695,142,1
bkrl,60,774,2535,0
srol,84,579,229,1
fhen,1241,2545,10,1
viyo,66,818,19,0
ownl,14,302,10,0
rvjb,27,10147,199,0
qcnb,69,872,77,0
ovyz,56,1029,1,0
wjyk,42,835,214,0
fqdr,2747,627,117,1
uxnr,28,6237,142,0
eifh,61,1079,9,0
dkwu,17,949,35,0
omot,44,597,186,0
txqh,1256,660,1,0
lbcu,36,908,5,1
shvh,53,878,13,0
bkia,114,265,153,1
yytt,27,4,7,0
lkqv,67,7644,9,0
ovcq,1988,556,109,0
gmxh,1820,249,1,0
pliz,88,381,209,1
affd,29,292,18,1
dinp,2317,184,4,1
iocb,49,1184,35,1
jdsc,61,98,17,0
atkz,45,428,199,0
cqmp,1568,795,124,0
lxdx,7,82,102,1
koxb,77,737,216,1
iwmj,93,11,0,1
pcpj,24,4355,226,1
qdfv,66,379,3,0
najr,61,1061,100,0
tyjv,1729,706,242,0
zulz,21,799,206,1
lmac,1607,680,190,1
fldo,80,186,2,0
qmmy,59,555,113,1
kini,84,477,100,1
fvwy,208,43,41,0
olba,21,699,17,1
oukf,73,638,204,0
njbp,28,511,36,1
hdnm,93,428,178,0
hboa,30,984,1,1
cptr,97,633,72,0
hhgy,114,809,242,0
nulf,100,406,197,0
qylg,320,630,83,0
bfcj,1187,884,8,0
jcjq,95,2,8,1
aiui,3,707,54,1
esnk,3,688,13,1
yorr,34,151,0,1
uacw,57,906,10,1
aydt,1533,347,220,1
dqji,738,243,96,1
lrfv,59,543,169,1
tcfr,2604,408,128,1
rguz,6,282,199,0
glte,176,854,160,0
pcxj,16,865,135,0
jxps,2400,1095,68,0
qvdz,12,1038,16,0
qcel,72,562,36,1
eacc,89,6873,94,0
rmrz,32,660,48,1
ioka,66,635,32,1
qwie,91,326,44,0
qtqz,66,10458,11,0
flbw,82,86,156,0
uqne,63,5074,233,0
tnij,62,120,23,0
dggh,75,32,115,1
iolq,42,587,7,0
zasc,2362,686,190,0
zimk,6,596,74,1
sfqy,76,7,159,1
fjsv,66,241,50,0
czsw,16,658,215,0
sngw,1678,166,1,1
upsw,81,646,99,1
fgro,1762,133,11,1
cuzb,578,1051,16,1
glxx,79,316,16,1
zuqt,1388,57,10,0
bwyg,73,982,78,1
wqus,1507,9524,39,1
dhen,100,1024,4,1
qucp,782,311,22,1
zphc,1749,787,23,1
oqjm,1139,478,152,0
bujn,1902,536,108,1
skrd,1177,773,8,1
pywe,94,1004,81,0
hscg,43,1176,247,0
vhgt,2556,6838,152,1
xlto,54,932,238,0
qvqh,53,591,17,1
azvd,4,7350,221,1
ldbg,2070,407,50,1
mkkm,89,523,41,1
uufr,2,147,101,1
zpwa,100,405,94,1
srzn,39,1017,180,1
fpgm,567,59,246,1
mpzr,27,427,16,0
sudt,83,711,21,1
qhjj,1855,2264,137,1
ogqk,91,1062,111,1
ytkf,73,993,10,1
yzhi,75,6162,11,0
fflq,964,173,2528,0
qmfg,1036,281,149,0
uxph,17,1750,250,0
fdut,425,306,144,1
juer,39,430,38,0
cwuw,70,253,190,1
sqth,94,652,234,1
prrb,38,727,115,0
xake,2067,767,100,1
gdpp,2090,753,40,0
ylzx,1152,6931,1,1
eygu,68,8511,186,1
gclt,2686,322,85,1
rugb,9,715,74,0
bagg,449,355,194,0
zabo,42,321,11,1
vcmx,47,1080,215,1
ftky,957,204,222,0
yhqk,23,3089,236,1
lkcb,48,1103,23,0
yufw,46,279,98,0
wyki,185,9166,211,0
bepj,85,318,78,1
hfcu,99,1254,553,1
lxqj,65,693,243,0
vnjv,2903,629,203,0
chww,33,40,212,0
lvhp,296,8247,218,0
lifh,1187,910,169,0
vthj,22,577,7,0
iytn,58,10604,2,1
vprr,72,1096,51,0
vsyd,96,2478,201,0
nwlc,0,298,93,1
cdbg,59,332,81,0
icdv,73,787,187,0
uuoe,1540,124,12,1
vrei,40,800,103,1
neef,242,939,10,1
bwtn,1967,317,12,0
indy,45,876,65,1
htyv,928,472,189,1
jnzo,29,321,100,0
mplk,27,409,15,1
ggep,34,70,154,1
qfqo,667,9108,111,1
tcrn,30,747,227,0
dvee,13,765,79,1
pget,70,138,68,0
rbdd,95,5807,177,0
gnji,1772,554,24,0
ohic,47,7783,1746,1
rbkp,45,841,75,0
qmhi,1104,6411,78,0
ofxk,73,114,21,1
pihr,1144,734,20,0
xxnz,99,687,10,0
bkqn,1059,114,200,0
