corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
gghm,663,54,1,0
ehcv,53,390,213,0
ziue,4,4320,10,1
imho,53,921,114,0
qjbu,87,5203,248,1
yavr,260,392,107,0
qbue,2093,354,52,1
uxvg,92,740,129,1
meig,364,251,155,0
oopn,70,254,250,1
abms,67,1014,7,0
zvoi,95,1018,6,1
doxx,50,441,141,1
ugur,1358,345,124,1
axji,9,565,2352,1
vpoo,2058,147,66,0
tivs,29,131,70,0
qddw,2444,205,12,1
lqfj,1506,801,3090,0
rilc,1192,728,240,0
uvsh,64,587,23,0
wrbk,25,846,201,1
hnpn,2866,121,223,0
llfl,2686,853,9,1
booo,1111,378,249,1
nqob,2091,333,25,0
oeby,12,27,42,0
eeks,35,360,86,1
dtbd,640,8,1,1
luln,91,900,47,0
nefu,2861,435,2457,1
yhsw,2202,162,5,0
emsb,82,163,2637,0
ddvo,1690,810,206,0
gmgf,2088,63,1100,1
igef,862,428,50,0
mpeh,962,662,6,1
xsvx,66,1058,167,0
oymk,59,283,68,1
uabv,684,998,139,1
uwjj,21,224,24,1
cgvu,82,947,787,0
vzek,655,813,89,0
awfs,2,568,138,0
imnt,1044,60,1936,0
myfi,56,233,32,1
trba,95,427,23,0
xskw,1519,648,4,0
eanb,44,799,8,0
vjzd,7,16,3653,1
yrmb,2054,558,171,1
krxr,571,496,21,1
imjq,78,323,62,1
yxqk,61,937,29,1
iwgg,23,1087,0,0
qrhr,166,235,177,0
icga,71,517,229,1
tehb,2209,31,138,1
wcyr,13,26,81,1
kbad,1968,352,64,1
awmm,35,816,10,1
orai,1850,211,206,0
mfgl,41,37,3712,1
ihyj,57,102,209,0
vmxd,51,183,10,0
inpu,82,8025,31,1
xmzr,1710,9823,247,0
rjpc,1121,429,101,1
dral,2967,39,32,0
qpex,88,316,146,0
vfwe,32,559,193,1
pqbt,85,10885,104,1
ezal,29,112,246,0
mmju,14,829,236,0
vcrv,47,325,1,1
sdrz,114,418,196,1
ofgv,97,7067,44,0
qbrj,53,796,7,0
skon,33,450,212,1
jizw,546,41,237,0
mkeu,57,251,24,1
hlhl,75,6691,174,0
thzk,1065,13,47,1
hhqr,1733,642,53,1
rymv,43,458,6,0
qaca,886,1039,61,0
afmx,76,837,5,0
irgl,66,772,140,1
mnio,1613,2298,2060,1
mvpl,2322,85,23,0
bfln,1678,138,127,0
jfqj,90,393,149,1
cprt,762,2031,175,0
ecim,79,99,97,0
xwtd,13,906,8,1
ncra,2325,390,79,1
jdnu,892,639,179,1
cfqz,46,16,147,1
kltn,60,105,1334,1
sedr,2401,808,2875,1
mhbw,489,359,54,1
ospr,2603,851,163,0
qsdb,932,785,33,1
ntgq,2424,20,7,1
ylzs,1871,3921,225,0
usny,819,629,53,0
cvms,1760,90,3953,0
qfys,58,835,58,0
totw,92,1236,46,0
rfyj,60,4144,23,0
qnov,471,1055,49,0
dyqz,9,180,7,1
sqml,89,471,21,1
nhdl,1503,1100,245,1
domv,15,750,69,0
ejbg,14,447,11,0
kkau,2161,417,22,1
owaj,2368,154,1,1
gwtg,94,27,231,1
shpm,430,1010,76,1
xzod,82,677,13,1
naqu,37,265,121,0
anmg,1328,1074,1,1
ylxk,388,1731,201,0
xlku,36,275,12,1
sqak,99,7594,19,1
cltq,68,1639,238,1
xklp,2713,25,44,1
musc,244,476,12,1
vbgy,31,701,52,0
dzgq,806,606,138,0
elar,689,272,116,1
qnrj,74,199,3350,1
mcni,89,1019,20,0
acta,57,3618,97,0
sshw,2858,258,132,0
smob,69,92,7,0
tzta,92,5057,4,1
vksg,6,10261,72,0
bgab,37,141,22,0
bzcy,44,284,72,0
jpxe,4,33,230,0
jqbe,77,5072,23,0
ssav,2401,280,238,1
zaye,1114,521,90,1
cipt,1,349,88,0
rncx,2000,842,212,0
cjuq,1176,10430,127,1
ydya,27,922,11,1
xqjn,64,901,0,1
pmbz,62,9227,40,1
enid,1277,416,170,0
zqob,499,227,72,0
znre,106,568,64,0
wftw,1426,6576,124,1
mwdd,50,146,19,0
daxr,7,740,182,0
jtcj,1320,150,2781,0
qgde,19,1087,93,0
zplh,2306,797,1329,1
azqx,2689,6678,58,1
cjdm,1880,1412,6,0
gmhh,28,7923,22,0
hnza,933,2,112,0
hlqy,47,130,139,1
tbkf,2145,1057,21,0
pwkx,94,2930,722,1
jvfd,366,723,143,0
julv,2606,2536,18,1
rqbx,88,6276,14,0
qbdv,2150,9768,6,1
bjxm,798,90,227,0
wsnr,70,36,138,0
avig,22,626,18,0
hxwb,268,1227,123,1
vieh,30,1058,9,1
yjyt,93,6789,8,1
knph,53,10,207,1
oeoc,83,1437,214,0
sbks,93,87,177,0
dvzj,7,1067,115,0
pnmy,88,132,92,1
hcjo,88,824,136,0
nybj,83,144,5,0
sjfm,11,686,19,1
qnfd,1644,10624,203,0
anih,2505,758,150,0
sljd,99,656,0,1
vqse,84,186,163,0
jhxd,2183,198,87,0
wvon,97,9963,11,1
dufe,523,26,225,1
ygvm,1661,780,1,1
mylx,86,224,42,0
awdu,2927,68,3508,1
siax,1793,272,131,0
ikbb,1959,678,222,0
cinq,85,559,245,0
iajy,49,514,188,1
dpkt,2837,18,229,1
xjga,116,864,37,0
vniq,1009,537,173,1
bkrh,94,692,1652,0
wmtj,1917,283,23,0
dpyz,75,266,130,0
bvvl,780,910,114,1
camg,41,967,17,0
gnsu,59,8022,14,1
bmny,2571,506,34,1
yzeu,487,687,102,0
ipzl,2445,1031,7,0
pzaz,289,183,29,1
klhg,85,918,249,0
hfrd,1300,784,140,0
prjl,63,856,1845,0
gdpa,2661,402,1387,1
ryvw,1316,98,19,0
uvcq,88,275,145,1
wdir,351,123,3029,1
tqxb,1808,562,241,1
cqbo,76,465,12,0
ojfz,2116,132,15,0
jhtw,31,1540,8,1
bdkn,25,230,234,0
wmda,8,3619,12,1
hepr,0,611,139,1
nvbk,95,236,63,0
yzum,100,335,3,1
rnpb,57,474,23,1
sbay,1933,153,202,0
ccee,271,210,8,1
sfxb,11,190,4,1
hftq,2377,464,14,1
foac,2001,658,17,1
lcdv,614,125,55,1
bztu,2768,435,1461,0
cvtf,9,211,42,1
flvl,786,8833,28,1
uloz,861,197,25,0
eply,1298,1000,9,0
biel,2081,4831,357,0
eloy,323,268,133,1
vlyc,1495,230,1754,0
rhkf,2322,276,15,0
yajz,111,269,7,0
mlkq,10,964,10,0
cael,24,737,159,0
anqs,19,763,242,0
ehfy,83,203,230,1
jawj,25,966,245,1
xjng,922,388,110,1
pvir,112,867,87,1
lvxw,83,403,24,0
oici,1961,3821,90,0
zocu,89,403,13,1
urok,99,564,19,0
sfds,2549,220,248,1
jose,85,518,166,1
tjsc,1493,5788,142,0
mowp,37,455,19,0
wbqd,84,222,462,0
qtiy,94,786,86,0
kygv,61,406,10,0
aqkb,2511,864,118,0
fcir,47,896,3997,0
whdy,1210,33,182,1
pvnd,937,427,74,1
kfbz,90,618,196,1
dwij,2398,1029,76,1
spic,2277,74,233,1
kqnt,57,211,117,1
brik,1526,533,6,0
flfr,2292,493,8,0
tugc,31,82,230,1
pefq,1872,2450,78,0
ocrv,236,965,195,1
qpfj,1743,431,119,1
envt,39,5728,119,1
tfdq,18,67,1702,1
uqwa,1216,476,67,1
ntmr,41,34,56,0
duvl,81,281,111,1
qrbf,13,818,97,0
jgua,3,191,211,0
bysz,8,167,186,1
hhtv,675,6064,136,1
mjgi,46,358,250,1
dwol,35,218,0,1
awxp,251,468,230,1
ywdq,2689,232,8,1
eydo,0,6180,20,0
hupe,400,288,54,1
wlue,13,10771,179,1
oxkh,2528,947,628,0
zxhz,66,4994,113,0
pnws,126,346,661,0
gwrc,2060,377,111,0
ousr,2473,965,16,1
bbbt,40,79,58,0
lfde,1949,437,242,0
eskw,7,852,187,1
nxct,2007,591,241,1
dcen,10,1004,55,0
tsug,2114,897,17,0
mopd,84,778,3180,1
dibp,1775,193,11,1
dnqk,73,257,123,0
vira,2084,612,17,1
yncy,50,155,111,1
nboc,919,1023,183,1
qaps,3000,365,236,0
bhaw,78,180,198,0
borf,55,44,51,0
nwgh,1638,7213,2,1
ijxd,60,274,19,0
khzu,908,359,16,1
zsxe,2290,877,22,1
ziav,2400,1097,165,1
gncl,2112,82,175,1
znlh,76,49,1,1
eary,1680,1044,8,1
rrhg,970,6184,3885,0
vmay,2990,786,0,1
ajig,67,847,10,1
jcta,10,382,211,0
pwmi,412,265,9,0
hmjl,1735,46,13,1
xojq,91,204,14,0
vnme,51,985,73,0
iqsv,300,366,160,1
gzsl,61,740,238,1
ukql,1542,478,24,0
nycs,66,671,192,1
qnur,61,832,652,0
iceo,1827,199,1162,0
rxjj,2019,468,10,1
rlar,68,2627,138,1
fqdc,56,10998,9,1
uimo,1079,312,18,1
uysf,49,218,59,1
uocy,46,1096,411,0
pemc,2961,186,25,0
bmwa,1319,215,11,1
ypdu,1693,294,3185,0
gepe,0,29,5,0
anan,9,1035,8,0
qcvs,37,735,8,1
iqub,1445,431,100,0
thcg,85,375,19,1
jmln,44,4214,133,1
qbzc,924,10382,54,0
xwtz,389,617,220,1
uynq,10,409,3255,0
efsi,15,658,79,0
lwxv,1192,1192,12,1
xexm,85,540,51,0
kanm,93,168,63,1
tmfm,2830,200,5,1
