corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
sazk,78,4636,81,0
wift,78,5017,245,0
jvyl,4793,43,19,1
xwdv,3760,230,1,0
nbhi,4300,218,103,0
lcus,21,207,90,1
gucp,96,121,1972,1
alin,33,368,218,0
wtxx,3110,8,634,1
vroy,13,62,470,1
uepq,70,145,17,1
zlwt,577,374,112,0
hldr,3751,7268,153,0
tklz,71,58,53,0
aurs,1340,178,1,1
yxrf,3107,77,242,1
cwqf,4095,344,315,1
flua,428,27,402,0
kwjp,1848,72,347,0
gxim,18,101,319,1
pwce,4084,592,617,1
vpxo,4803,134,14,0
olra,100,35,93,1
bhrp,34,423,17,0
fqws,3709,5952,593,0
leva,88,7107,368,0
tjqv,5,117,636,1
hgtj,1209,35,7,0
atmy,4526,7739,126,1
blak,37,248,414,0
topz,315,100,490,0
ztqe,56,321,9,1
xjhh,66,270,384,1
jegj,1752,497,0,0
lwjl,1186,193,318,0
yayr,73,5765,1996,0
eupa,10,53,18,0
xbmp,1789,600,16,1
zqwr,22,50,322,1
pbyo,42,486,98,0
vbeo,90,3014,108,0
yglf,4281,446,46,0
mjcu,6,157,253,1
pupo,2727,5719,1,1
dqud,2,4261,23,0
deuo,2102,27,318,0
lhur,566,8,1788,1
mrpe,28,1221,84,0
wkjd,29,4480,21,0
bxpy,3845,268,22,1
xcky,16,150,14,1
dpdv,37,124,247,0
easc,1677,4265,667,1
pwrb,2165,299,1763,1
ywmp,87,242,32,0
hzzc,4,339,455,1
gruz,4303,132,1320,1
rjvf,3046,363,15,0
qdub,351,431,1996,0
nwwc,1510,95,317,1
flrd,60,60,76,1
hihl,96,577,16,1
zogr,59,364,500,1
xsmz,88,15,48,0
idme,4244,4378,187,0
wjvt,4473,45,32,0
zvko,1529,216,952,1
ullu,2187,90,17,1
zlwf,593,221,422,1
nzgp,11,87,136,1
jvin,75,91,10,1
dabc,1468,5275,380,1
ejtq,47,356,277,1
jxgc,96,3383,18,0
gsxu,66,11,152,1
tskx,4763,13,1115,1
spdh,73,3441,357,1
adpe,32,576,6,1
eixq,727,2408,25,1
vpfz,80,291,3,0
kspd,3757,867,819,1
nqgn,1437,403,12,0
knlc,449,235,1007,1
xuyx,79,108,537,0
eacl,29,17,1,0
fupv,18,579,1764,0
nfsl,374,7853,1716,0
wydy,58,24,529,1
wmiq,90,3774,401,0
bejm,1788,515,13,0
ufoo,4899,194,261,0
opev,39,85,108,0
zxyl,17,556,1906,1
hmey,99,486,9,0
rgjh,96,1,390,0
bhnv,9,351,136,0
rcdh,4018,5,434,0
joil,3947,429,171,1
ecol,3696,431,402,0
oomy,29,129,12,1
tgmt,16,50,283,0
riex,42,174,1497,1
sivu,1012,380,36,0
mahv,53,144,14,0
bnfx,72,139,10,1
zdpc,1351,5104,12,1
gquj,651,1693,8,0
vzve,3611,27,131,1
ujtv,2184,108,3,1
uhnu,9,1518,97,1
qqhb,2249,126,317,1
utgu,24,4491,5,0
tdxj,420,3117,482,0
avuj,45,7236,3,1
