corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
tbpd,3670,29,508,1
rwps,10,7,544,0
lzrr,95,417,13,1
cgcr,18,542,1770,1
yedw,4520,160,18,0
xhsl,2697,68,103,1
bdfa,2995,114,1750,1
bvkl,2507,37,101,0
qemw,1432,485,13,1
oytj,1015,32,405,1
zanr,94,411,1603,1
hbcq,746,140,0,0
qjlv,4860,590,179,0
pwxz,61,40,127,0
gdfo,601,173,4,1
dsir,42,4044,1031,1
clht,4540,27,94,1
yjwb,4281,440,59,0
oayh,3367,239,16,1
zovt,2898,486,1264,1
mdsq,2071,8364,521,0
eoyk,89,77,25,0
pnrh,4,222,21,1
auty,4222,551,17,1
nikd,729,6538,21,1
jxpr,4427,102,1461,1
pdoo,31,483,357,0
yovr,331,5084,71,0
rqjn,64,6556,11,1
ejco,70,46,1767,1
mqop,386,58,22,1
frmc,610,6837,107,1
duey,3740,301,352,0
page,2947,17,417,1
udva,54,246,235,0
ssav,2,273,3,0
gyip,15,355,227,0
agck,44,495,2,1
iafp,4947,5,3,0
sohh,91,6428,1,1
tnlp,1436,149,252,1
rtta,4192,29,513,0
lgdp,13,245,22,1
yqiy,53,53,10,0
lcpm,25,381,750,0
cefo,33,8,254,1
cpdu,1,4472,155,0
lntu,839,210,122,0
aonl,15,407,506,1
hcwe,1172,89,333,1
rqhg,3567,46,516,0
yyxc,1554,100,17,0
hybg,1048,30,528,0
lgoc,52,136,551,1
suyr,77,6186,558,1
oixu,342,489,7,0
tlfk,74,1290,39,1
dppj,2,78,100,0
qggw,4952,3683,556,0
xpnj,3068,372,492,0
srlk,89,6004,17,1
mtyz,34,462,473,0
gclo,3198,393,344,0
bhef,76,503,5,1
frrl,2998,13,329,0
utsb,2508,1575,1765,1
edqq,4144,119,1473,0
opnx,4654,6,181,0
umrd,2309,256,393,1
gros,66,1259,23,0
owzm,9,2495,182,1
ctnr,1,46,575,0
tkoh,1067,0,15,0
hxrr,3633,3711,214,0
xzlu,2811,131,10,0
tqda,45,149,1071,1
szip,2946,6633,8,1
cysv,4762,5873,25,0
vvat,80,364,0,0
deor,34,401,21,1
tyyp,3037,173,131,1
hzda,1298,358,22,0
mamy,62,288,5,1
dpbm,97,29,183,0
ssaj,4040,406,117,1
zxoh,36,291,792,0
kvco,2493,271,297,0
toue,31,6837,202,1
hiob,591,49,236,0
corn,83,178,329,0
mruf,81,517,519,0
ozde,100,67,1583,1
bhtj,2499,306,10,1
qzjt,4346,312,25,1
fqdg,76,5627,452,1
ayos,4478,224,485,0
kyyh,4594,45,169,1
wpux,1135,4872,835,0
uyhe,3480,340,517,1
vcie,1637,666,1717,1
