corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
hlcq,85,121,3353,0
tvqg,279,6963,2192,1
dowh,1168,9996,2091,0
aarb,89,324,7,1
bwhw,754,3812,238,1
tjdj,2455,715,96,1
mwln,86,10878,1238,0
uxwb,17,92,2469,0
twwa,29,6455,1996,1
xygc,1811,433,6,1
ompd,1243,241,16,0
wexl,85,138,25,0
aafy,81,1302,3622,0
tlkk,1837,677,3690,1
amsr,15,676,43,1
evbg,1059,10184,25,1
vdct,384,855,160,1
doji,2301,266,138,0
wfej,1380,38,20,1
rvmu,782,590,6,0
xjfq,12,592,221,0
rwme,1959,1038,2526,0
zvmh,2266,91,1196,1
epwy,99,991,129,0
vcto,1855,289,9,1
eijo,2617,559,2982,0
esbk,2374,1023,37,0
vgko,22,118,202,0
qguk,76,772,106,0
gvnj,6,7449,66,0
fvug,634,8535,22,1
uhhn,499,620,37,1
rzbx,79,92,227,0
huzj,1647,509,1453,0
xtrr,74,3377,184,1
jipn,27,3736,150,0
ozwf,38,188,1413,1
cdiw,16,639,59,0
bxlu,6,15,7,0
kcqo,2022,184,127,0
kahg,25,124,2,0
itfa,2218,509,200,1
isbr,33,122,182,1
oqxn,34,831,65,1
plru,4,2134,16,1
qfic,1021,199,187,1
aqdh,2364,910,37,0
emjw,775,78,19,1
ayaa,1333,165,0,1
tegy,2227,9510,3,1
srro,2099,645,156,0
ddgb,49,401,2947,0
xpug,2790,642,102,1
kyqz,59,189,38,0
bvao,65,390,3516,0
wcgx,8,91,15,1
renl,24,688,55,1
agiv,2259,1072,235,1
jomv,80,509,5,1
dpao,34,621,238,1
efdt,2098,899,10,1
osli,32,231,161,0
ulgq,2707,371,18,0
kzci,67,426,148,0
lrci,839,4006,213,1
nsyu,32,443,421,0
lygc,926,441,6,1
jupr,1399,10075,5,1
vyvb,75,435,3370,0
rxjk,2581,475,101,1
evdm,219,298,13,1
lvnl,2223,1062,244,0
ylhn,32,225,8,0
scer,91,10587,579,1
exjc,425,155,13,1
cenx,1326,906,92,1
jvru,1528,688,200,0
tkwz,38,2688,64,0
esnq,4,371,60,1
ztue,60,605,15,0
kuez,2955,355,25,1
jyxm,2012,698,16,1
uplv,47,7366,202,1
xvrd,29,2030,2796,0
uiln,2646,84,7,1
bdim,9,435,2413,0
hvqr,59,4222,126,1
ftph,1060,313,17,1
juty,94,682,73,1
lvmn,65,199,5,0
smpw,2535,480,8,1
oszk,484,570,33,1
ogpx,24,3930,3,0
lhdg,2806,111,2440,0
raon,808,8296,4,0
imcb,1257,349,6,0
vpsr,37,41,25,1
dzhu,161,705,154,0
opgt,1853,1061,246,0
pzco,2687,8686,81,0
dgxb,53,807,55,1
ejxf,139,71,431,1
zjsw,37,699,19,0
khtd,35,5036,101,0
obuw,2287,6626,2395,1
yccp,40,206,1872,0
xfil,72,773,78,1
iskb,1844,508,38,0
sfww,25,137,2,0
dcss,29,54,1,0
dxpn,1511,1819,84,0
dhxq,46,176,1542,1
hnfj,1085,784,136,1
rzob,1701,566,13,0
toef,1980,7544,52,1
bdfl,75,545,13,0
anww,4,181,14,1
hmgj,399,2115,656,0
uomk,48,9608,5,0
llip,380,696,2046,0
wafn,6,3861,1264,1
mqxv,2983,665,5,0
rczp,181,462,11,0
efvf,20,165,22,1
stxb,5,10969,5,1
jskl,75,691,116,0
crzk,967,433,106,1
eopf,52,106,227,1
cdrb,813,58,23,1
dhae,1,1031,23,1
lpzo,64,891,370,1
omev,10,1048,11,0
vayt,20,730,21,1
ffer,52,654,976,0
xocc,2910,9051,2735,0
sjcc,2414,613,19,0
szrk,2034,6379,148,0
mltf,2550,80,60,0
xgxj,1937,47,11,0
lilm,6,242,24,1
xwys,2872,1094,194,0
orzf,760,871,10,1
ybme,790,3,57,1
yckq,37,649,2198,0
ogng,112,427,2559,1
lkxu,56,646,220,1
oyuf,935,238,84,1
cuvj,17,735,4,1
gvdk,2892,995,13,0
xhww,49,479,212,0
kbsp,1667,984,10,1
wrir,1578,277,15,0
bpvr,663,906,3755,0
sbhy,5,4201,2,1
keid,98,152,9,1
vpil,1865,1945,216,1
qhyh,1344,240,148,0
qkms,1467,281,124,1
oeue,160,6254,82,0
ottg,896,901,3985,1
utst,2131,604,54,1
cnsg,100,807,4,1
nwwy,256,270,1,1
gdco,9,556,15,0
nkle,8,90,10,0
huxz,2140,1008,3380,1
jyfo,145,511,160,0
amkq,602,705,19,1
otxy,86,157,4,1
sbot,46,10,34,1
mkhy,12,15,144,0
iebq,61,120,133,0
ootc,68,7759,227,1
qgsa,2,5652,2497,1
ciem,2531,266,204,0
jyjx,77,5650,1,1
jprn,56,167,11,0
icsy,71,119,59,0
utyj,22,569,1798,1
upjw,294,2668,23,1
yjla,499,421,0,1
rykp,30,1830,16,0
pbgr,41,454,2135,0
gceg,2416,9110,168,0
llnd,72,1079,122,1
fdmr,70,992,72,1
cpmj,2973,583,3378,0
lpdi,1668,940,123,0
vbvg,13,355,143,1
tyjx,1621,260,196,0
spwj,1179,352,1303,1
fhsh,1403,562,141,1
aybv,43,1028,153,1
jycj,545,6084,1517,0
snyo,15,221,204,1
mlpk,86,9134,214,0
xpdw,15,164,86,0
kazs,67,445,93,1
yzqr,53,36,25,1
gcsb,37,67,23,0
owqa,72,645,233,1
kmgl,203,310,39,1
evcp,2114,755,522,0
qvbc,31,326,7,0
efcq,2620,188,15,1
phrh,58,55,2810,0
rbul,2359,682,200,1
vlqh,887,691,145,0
egfq,638,8045,72,0
kfsc,64,10997,205,1
xywm,1493,4984,10,0
jbgp,1058,3500,1,1
stfb,64,2014,2883,0
fgys,2082,3438,2378,1
fpul,415,10709,180,0
qjxf,602,287,115,0
gkoe,10,10706,233,0
tupr,26,412,238,1
sosz,20,268,227,1
jmih,1469,256,130,1
wdyl,1974,3674,3,1
gvro,2355,743,135,1
ztuh,83,4523,2259,0
byex,995,71,76,0
jphe,1185,385,39,1
rkek,1307,328,727,1
dtco,2443,39,22,1
yent,295,831,188,0
guek,100,523,227,1
qqoh,367,5482,249,1
vrbq,529,1028,2701,0
xsxa,27,675,129,1
bglf,9,7918,170,1
vhtk,85,103,1,1
oekm,1085,6518,12,0
ykqx,15,928,3,0
vtxp,2369,608,2781,0
pefh,59,1800,2971,1
qita,1330,2133,18,1
monz,25,64,18,0
bczx,237,305,9,1
gbvi,34,991,2305,1
ttdx,1664,158,2354,0
pbny,92,2721,77,1
syjv,257,340,141,0
qbzp,2665,359,52,1
mntf,29,1067,2,1
cslr,336,8148,7,0
ljdd,17,649,53,1
kqbe,107,3901,226,0
bxen,69,691,9,1
uxfc,536,492,61,0
lemb,1183,408,30,0
ergo,49,470,22,0
hems,70,290,141,0
edfm,832,2605,16,0
mnra,97,743,3304,0
cpap,1152,433,2299,0
qxwm,27,5206,209,1
jmef,621,10458,3,0
umfd,1332,5230,14,0
pnft,856,1884,3517,1
yhfk,79,2778,21,1
kddb,1133,882,14,1
gpch,97,431,211,0
ettx,87,302,4,1
xemz,1,273,4,1
zcuo,1043,8070,2653,0
aram,2034,527,184,1
jwbk,96,814,3953,0
gopa,2136,290,134,0
utyv,30,8570,2411,0
sgsu,32,10200,44,1
zjbv,44,5812,2086,1
crrs,2380,57,7,0
mzcl,97,1007,2,1
fizr,1130,347,2338,0
oleh,2855,495,71,0
ymow,1596,308,8,0
oagu,92,10471,200,0
cxfy,43,881,2302,1
fhyg,92,3232,236,1
kevu,9,132,245,0
yvvt,1134,2364,4,1
gbmj,1689,412,52,0
hccv,1970,710,114,0
yxiy,662,151,3831,1
iimb,1311,987,415,1
rrfg,2899,1078,7,0
buqm,66,376,91,0
rrge,953,548,2590,0
kkdi,15,6381,15,0
cswb,434,3964,63,1
tdyn,56,684,2799,0
jnmu,34,4889,177,0
ifwp,3,3024,11,0
xpeo,1751,7826,238,0
ttky,82,124,33,1
glfx,1838,255,826,1
iivg,656,2065,2013,1
euya,2,198,701,1
wlji,2167,526,132,0
mxfu,48,5799,9,1
hfex,2516,908,2674,0
joan,2335,603,3944,0
cmsj,2169,2261,168,1
ddcs,1628,580,13,0
xndf,28,70,15,1
jqxc,80,1834,1010,1
hgbp,1892,538,20,0
orzq,27,6967,136,1
kpow,86,733,42,1
zdbj,41,435,19,0
nrob,6,10014,474,1
nouo,48,3505,4,1
qlza,75,2861,9,1
ozit,1713,545,247,1
zmln,42,208,3852,0
bzfv,32,611,5,0
iofn,36,37,78,1
fbtn,52,4167,67,1
qedl,4,410,1887,1
puwi,413,157,227,0
uuzt,1648,54,2144,0
isgx,362,256,28,1
aayl,2585,190,195,0
lzkh,1856,988,162,1
tlkg,2201,9905,67,0
xhlc,2177,5841,1658,0
akwa,2915,611,9,0
ztvk,48,9425,1,0
sgtn,1083,1065,193,1
kzoo,1466,1072,0,0
asrg,35,544,451,1
tlnt,76,270,195,0
gwvj,43,5872,140,1
qzps,1,871,220,1
jsbi,1427,9552,25,0
dnfs,504,366,248,1
vnur,82,100,14,1
usod,1818,112,23,0
zttt,505,9,2125,0
jvmu,1522,324,29,1
zfcj,830,178,3904,1
isxt,19,3244,6,1
pevw,81,73,28,1
wpkc,2940,338,185,1
ximh,2670,511,10,1
shnv,2123,220,33,0
pwtf,1015,9037,76,1
nyij,27,37,30,1
ecdx,25,9999,50,1
rpjk,567,8100,0,1
ripr,528,443,14,0
xpab,2386,6850,138,0
rqvo,1353,602,209,1
aaeo,782,285,24,1
egtg,294,7874,240,1
fitv,2410,794,1540,1
nrrp,30,983,49,0
yhbb,37,120,1193,0
wblt,826,637,1565,1
zxqp,1326,158,5,0
qhpg,46,132,13,0
ijtg,2902,6672,4,1
kaeb,872,10487,2451,0
zbba,814,1040,77,1
xfyc,824,696,24,0
kgeq,3,2919,33,0
dosv,1245,29,39,1
qead,2055,277,28,0
xuea,100,427,3623,0
ncyp,1628,9941,152,1
hhvk,62,649,134,0
vjgp,51,460,788,0
pzuo,2299,202,232,1
oxha,1557,649,27,1
lbob,2501,372,2689,1
lzcn,315,9561,13,1
fzjs,42,786,214,1
brmv,54,3778,202,1
xrtq,1965,284,1672,0
wmiv,24,860,188,1
gilm,90,692,2,0
gthe,178,666,198,0
vigz,70,719,24,1
cilc,29,506,5,0
ovht,96,360,1952,0
qsrh,100,155,23,0
johg,89,329,2555,0
ngqk,30,764,9,1
neiy,12,2634,3071,0
nuoh,96,177,26,0
ezpp,33,3621,2791,1
doao,42,673,158,0
ykac,83,473,16,0
uqnk,1037,1043,98,0
iiqe,41,402,211,1
fjju,3,4291,156,0
jvbo,51,599,20,1
mgxl,223,2166,2,0
jpuz,25,52,6,1
kstf,765,101,247,0
soby,30,934,7,0
huam,97,446,233,0
rkaf,1732,62,20,0
ybmu,68,226,180,1
tiya,43,995,189,1
finl,86,8,104,0
qbai,1492,698,162,1
hgfb,2501,1062,83,1
ykdp,2655,129,180,1
bzwb,1304,378,674,1
vkyj,48,5618,2497,1
kfhx,54,7379,76,1
rywh,83,114,29,0
jbii,27,327,235,1
xhpc,2491,385,219,0
mmuj,6,281,51,1
dkwq,2962,292,56,0
itrq,40,487,59,1
qohq,1423,4536,245,1
xvhm,1931,10140,3037,1
rrty,7,1477,119,0
ines,1586,411,3251,1
vvyz,52,418,8,1
xtko,50,731,226,0
otgs,179,982,19,1
xtcf,2310,683,44,0
urci,2452,204,27,0
vctx,36,676,3354,0
zhts,79,346,1598,0
pqxj,1626,708,6,1
vziy,96,3408,64,1
lrpm,15,382,1190,1
golt,1980,154,176,0
rbtp,30,43,91,0
tqov,12,5931,248,0
ixsr,4,346,196,1
zswy,98,959,2263,0
uutd,20,202,1,0
olqh,2852,364,3044,1
stgo,1921,533,56,0
gzfy,50,205,750,1
pjyk,659,3983,86,0
ntjd,33,359,157,1
sjkw,373,8,3491,0
kgvz,79,66,164,0
txrw,6,9335,19,1
yhoz,24,248,3,1
geff,586,907,222,1
lnbd,64,837,192,1
ebfy,34,659,0,0
rqph,77,8145,216,1
qvwq,56,483,10,1
fphw,1649,541,109,1
dwoh,0,138,217,1
vfvf,24,362,204,0
jnmo,1289,457,95,0
tcfw,49,363,246,1
vats,96,2,5,1
qtpi,2327,10633,0,1
dyjs,80,1517,196,0
jvai,259,318,15,1
dcrx,1307,948,1323,0
eovm,71,721,14,0
gfgp,65,736,20,0
ityf,64,10624,77,0
ctln,82,3052,25,1
usas,87,700,27,1
cmya,1680,691,232,0
tlbj,17,6824,173,0
xcnx,100,11,15,0
ovnb,44,7458,3374,0
ihhy,2604,1979,7,1
amxz,15,184,17,0
dmug,1696,3072,18,1
mejx,12,923,3045,0
mdwb,587,98,22,1
ocdw,40,60,40,1
oqyf,1224,4127,49,0
hgdm,1446,485,3409,0
mhww,64,509,1365,1
qbeq,1090,1048,25,1
modq,74,996,841,1
nywm,17,252,9,1
dftg,1847,1096,110,1
sict,67,3605,2962,1
foxq,29,2732,934,0
auyw,5,62,3007,0
jflo,1384,170,11,0
jdaf,25,183,131,1
hdkv,32,884,158,1
gxlo,141,99,1637,0
jweo,79,823,88,1
nxyt,2297,6490,21,1
owdc,36,2908,193,0
dvvr,54,5612,1090,0
hxqm,1324,1930,7,1
ttjt,64,272,162,0
qunn,2938,818,3406,0
yqsv,21,544,6,1
wcom,47,242,126,1
kyya,1494,949,3234,0
rbrx,70,136,13,1
djnp,780,964,25,0
pfcd,29,891,18,0
cyjs,274,655,134,0
fnlu,47,885,2033,0
uxdg,2541,137,248,1
xlzs,709,405,1848,0
jikk,66,6230,2,1
jpri,24,1045,1817,0
szxd,97,643,196,1
egyt,73,1782,14,1
